date,Open,High,Low,Close,Volume,Adj Close,Stock
2008-01-02,"2,653.91","2,661.50","2,597.81","2,609.63","2,076,690,000.00","2,609.63",ggg
2008-01-03,"2,611.96","2,624.27","2,592.18","2,602.68","1,970,200,000.00","2,602.68",ggg
2008-01-04,"2,571.08","2,571.08","2,502.68","2,504.65","2,516,310,000.00","2,504.65",ggg
2008-01-07,"2,514.15","2,521.62","2,471.23","2,499.46","2,600,100,000.00","2,499.46",ggg
2008-01-08,"2,506.97","2,527.42","2,440.51","2,440.51","2,566,480,000.00","2,440.51",ggg
2008-01-09,"2,443.85","2,474.55","2,407.39","2,474.55","2,821,160,000.00","2,474.55",ggg
2008-01-10,"2,452.12","2,503.55","2,446.80","2,488.52","2,640,400,000.00","2,488.52",ggg
2008-01-11,"2,471.86","2,473.95","2,428.85","2,439.94","2,355,490,000.00","2,439.94",ggg
2008-01-14,"2,470.87","2,483.13","2,455.34","2,478.30","2,134,230,000.00","2,478.30",ggg
2008-01-15,"2,449.04","2,455.29","2,412.47","2,417.59","2,390,120,000.00","2,417.59",ggg
2008-01-16,"2,390.56","2,429.58","2,361.22","2,394.59","3,397,330,000.00","2,394.59",ggg
2008-01-17,"2,405.74","2,416.51","2,343.65","2,346.90","2,785,930,000.00","2,346.90",ggg
2008-01-18,"2,365.56","2,384.21","2,323.29","2,340.02","2,991,360,000.00","2,340.02",ggg
2008-01-22,"2,221.20","2,318.60","2,221.20","2,292.27","3,161,430,000.00","2,292.27",ggg
2008-01-23,"2,226.77","2,320.13","2,202.54","2,316.41","3,650,250,000.00","2,316.41",ggg
2008-01-24,"2,328.86","2,361.89","2,326.37","2,360.92","2,928,900,000.00","2,360.92",ggg
2008-01-25,"2,402.80","2,408.22","2,322.56","2,326.20","2,599,410,000.00","2,326.20",ggg
2008-01-28,"2,324.85","2,349.91","2,306.64","2,349.91","2,033,860,000.00","2,349.91",ggg
2008-01-29,"2,360.43","2,362.11","2,332.00","2,358.06","2,160,040,000.00","2,358.06",ggg
2008-01-30,"2,346.36","2,396.00","2,343.88","2,349.00","2,618,850,000.00","2,349.00",ggg
2008-01-31,"2,317.11","2,403.46","2,313.52","2,389.86","2,813,420,000.00","2,389.86",ggg
2008-02-01,"2,392.58","2,419.23","2,374.50","2,413.36","3,060,180,000.00","2,413.36",ggg
2008-02-04,"2,413.42","2,413.42","2,382.09","2,382.85","2,050,940,000.00","2,382.85",ggg
2008-02-05,"2,344.81","2,359.43","2,309.57","2,309.57","2,501,820,000.00","2,309.57",ggg
2008-02-06,"2,327.18","2,338.27","2,277.27","2,278.75","2,362,020,000.00","2,278.75",ggg
2008-02-07,"2,259.62","2,318.52","2,252.65","2,293.03","2,946,360,000.00","2,293.03",ggg
2008-02-08,"2,290.50","2,318.67","2,280.27","2,304.85","2,229,330,000.00","2,304.85",ggg
2008-02-11,"2,310.75","2,326.23","2,294.42","2,320.06","2,072,270,000.00","2,320.06",ggg
2008-02-12,"2,333.31","2,349.55","2,305.83","2,320.04","2,183,530,000.00","2,320.04",ggg
2008-02-13,"2,347.22","2,373.93","2,338.91","2,373.93","2,174,670,000.00","2,373.93",ggg
2008-02-14,"2,376.22","2,376.22","2,328.59","2,332.54","2,267,580,000.00","2,332.54",ggg
